ID,Name,Designator,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,43pF,"C25,C27",2,0603CG430J500NT,FH(风华),LCSC,C1670
2,82pF,C26,1,CC0603FRNPO9BN820,YAGEO(国巨),LCSC,C519487
3,68pF,"C28,C31",2,0603CG680G500NT,FH(风华),LCSC,C302040
4,180pF,"C29,C30",2,CC0603JRNPO9BN181,YAGEO(国巨),LCSC,C107041
5,1206CS-561XGLC,"L2,L3,L4",3,1206CS-561XGLC,Coilcraft(线艺),LCSC,C22433172
6,0603White light_C2290,"17,20,30,40,TX",5,KT-0603W,KENTO,LCSC,C2290
7,2.2uF,C47,1,CL05A225MP5NSNC,SAMSUNG(三星),LCSC,C444845
8,200Ω,R30,1,0402WGF2000TCE,UNI-ROYAL(厚声),LCSC,C25087
9,SN74CBTLV3253PWR,U6,1,SN74CBTLV3253PWR,TI(德州仪器),LCSC,C105246
10,TPD2EUSB30ADRTR,D1,1,TPD2EUSB30ADRTR,TI(德州仪器),LCSC,C94934
11,1nF,C19,1,0402B102K500NT,FH(风华),LCSC,C1523
12,NCP1117ST33T3G,U10,1,NCP1117ST33T3G,onsemi(安森美),LCSC,C26537
13,ATX-11-F-27.000MHZ-F05-T,X1,1,ATX-11-F-27.000MHZ-F05-T,ABRACON,LCSC,C6508794
14,KMR241GLFS,BOOT,1,KMR241GLFS,C&K,LCSC,C221682
15,100nF,"C39,C40,C41,C42,C43,C44,C45,C50,C51,C52",10,CL05B104KB54PNC,SAMSUNG(三星),LCSC,C307331
16,100Ω,"R4,R5,R6,R7,R8",5,0402WGF1000TCE,UNI-ROYAL(厚声),LCSC,C25076
17,10uF,"C37,C38,C13,C18,C20",5,CL21A106KAYNNNE,SAMSUNG(三星),LCSC,C15850
18,4.7uF,"C48,C53,C46",3,CL05A475MP5NRNC,SAMSUNG(三星),LCSC,C23733
19,15pF,"C54,C55",2,0402CG150J500NT,FH(风华),LCSC,C1548
20,5.1kΩ,"R23,R24",2,0402WGF5101TCE,UNI-ROYAL(厚声),LCSC,C25905
21,1kΩ,"R25,R29",2,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702
22,33Ω,R28,1,0402WGF330JTCE,UNI-ROYAL(厚声),LCSC,C25105
23,TYPE-C-31-M-12,USBC1,1,TYPE-C-31-M-12,韩国韩荣,LCSC,C165948
24,3.3uH,L1,1,AOTA-B201610S3R3-101-T,ABRACON,LCSC,C42411119
25,27Ω,"R26,R27",2,GR0402J27RTAG00,GiantOhm(鼎声微电),LCSC,C49653084
26,12MHz,U7,1,ABM8-272-T3,ABRACON,LCSC,C20625731
27,RP2354A,U8,1,RP2354A,Raspberry Pi(树莓派),LCSC,C41378174
28,100kΩ,R22,1,0603WAF1003T5E,UNI-ROYAL(厚声),LCSC,C25803
29,22Ω,R21,1,0402WGF220JTCE,UNI-ROYAL(厚声),LCSC,C25092
30,LBSS139LT1G,Q1,1,LBSS139LT1G,LRC(乐山无线电),LCSC,C383203
31,3.3kΩ,"R19,R20",2,0603WAF3301T5E,UNI-ROYAL(厚声),LCSC,C22978
32,100nF,"C23,C1,C2,C3,C4,C7,C8,C10,C11,C12,C14,C16,C17,C21,C22,C33",16,CC0603KRX7R9BB104,YAGEO(国巨),LCSC,C14663
33,10uF,"C5,C6",2,CL10A106MA8NRNC,SAMSUNG(三星),LCSC,C96446
34,220pF,"C9,C15",2,0402B221K500NT,FH(风华),LCSC,C1530
35,2.2nF,"C24,C32",2,CL21C222JBFNNNE,SAMSUNG(三星),LCSC,C28260
36,10nF,"C34,C35,C36",3,CL05B103KB5NNNC,SAMSUNG(三星),LCSC,C15195
37,BLM18PG121SN1D_C14709,L5,1,BLM18PG121SN1D,muRata(村田),LCSC,C14709
38,10kΩ,"R1,R15,R16",3,0603WAF1002T5E,UNI-ROYAL(厚声),LCSC,C25804
39,75Ω,"R2,R3,R9,R10",4,0603WAF750JT5E,UNI-ROYAL(厚声),LCSC,C4275
40,56kΩ,"R11,R12",2,0603WAF5602T5E,UNI-ROYAL(厚声),LCSC,C23206
41,5.6kΩ,"R13,R14",2,0603WAF5601T5E,UNI-ROYAL(厚声),LCSC,C23189
42,1kΩ,"R17,R18",2,0603WAF1001T5E,UNI-ROYAL(厚声),LCSC,C21190
43,"74LVC74APW,118","U1,U9",2,"74LVC74APW,118",Nexperia(安世),LCSC,C6100
44,SI5351A-B-GTR,U3,1,SI5351A-B-GTR,SKYWORKS/SILICON LABS(芯科),LCSC,C504891
45,MCP6022-I/SN,U2,1,MCP6022-I/SN,MICROCHIP(美国微芯),LCSC,C34047
46,SN74ACT244PWRG4,"U4,U5",2,SN74ACT244PWR,TI(德州仪器),LCSC,C6930
